GEO.id,GEO.id2,GEO.display-label,HD01_VD01
Id,Id2,Geography,Estimate; Median gross rent
1500000US480291215042,480291215042,"Block Group 2, Census Tract 1215.04, Bexar County, Texas",-
1500000US480291215043,480291215043,"Block Group 3, Census Tract 1215.04, Bexar County, Texas",1210
1500000US480291215044,480291215044,"Block Group 4, Census Tract 1215.04, Bexar County, Texas",1370
1500000US480291215051,480291215051,"Block Group 1, Census Tract 1215.05, Bexar County, Texas",1059
1500000US480291215052,480291215052,"Block Group 2, Census Tract 1215.05, Bexar County, Texas",967
1500000US480291215053,480291215053,"Block Group 3, Census Tract 1215.05, Bexar County, Texas",1345
1500000US480291215061,480291215061,"Block Group 1, Census Tract 1215.06, Bexar County, Texas",1100
1500000US480291215062,480291215062,"Block Group 2, Census Tract 1215.06, Bexar County, Texas",718
1500000US480291215063,480291215063,"Block Group 3, Census Tract 1215.06, Bexar County, Texas",881
1500000US480291215064,480291215064,"Block Group 4, Census Tract 1215.06, Bexar County, Texas",1141
1500000US480291215071,480291215071,"Block Group 1, Census Tract 1215.07, Bexar County, Texas",1074
1500000US480291215072,480291215072,"Block Group 2, Census Tract 1215.07, Bexar County, Texas",770
1500000US480291215073,480291215073,"Block Group 3, Census Tract 1215.07, Bexar County, Texas",815
1500000US480291215074,480291215074,"Block Group 4, Census Tract 1215.07, Bexar County, Texas",1125
1500000US480291215081,480291215081,"Block Group 1, Census Tract 1215.08, Bexar County, Texas",1045
1500000US480291215082,480291215082,"Block Group 2, Census Tract 1215.08, Bexar County, Texas",931
1500000US480291215083,480291215083,"Block Group 3, Census Tract 1215.08, Bexar County, Texas",1138
1500000US480291216011,480291216011,"Block Group 1, Census Tract 1216.01, Bexar County, Texas",816
1500000US480291216012,480291216012,"Block Group 2, Census Tract 1216.01, Bexar County, Texas",763
1500000US480291216013,480291216013,"Block Group 3, Census Tract 1216.01, Bexar County, Texas",737
1500000US480291216014,480291216014,"Block Group 4, Census Tract 1216.01, Bexar County, Texas",645
1500000US480291216041,480291216041,"Block Group 1, Census Tract 1216.04, Bexar County, Texas",1097
1500000US480291216042,480291216042,"Block Group 2, Census Tract 1216.04, Bexar County, Texas",-
1500000US480291216043,480291216043,"Block Group 3, Census Tract 1216.04, Bexar County, Texas",867
1500000US480291216044,480291216044,"Block Group 4, Census Tract 1216.04, Bexar County, Texas",1551
1500000US480291216051,480291216051,"Block Group 1, Census Tract 1216.05, Bexar County, Texas",1115
1500000US480291216052,480291216052,"Block Group 2, Census Tract 1216.05, Bexar County, Texas",828
1500000US480291216061,480291216061,"Block Group 1, Census Tract 1216.06, Bexar County, Texas",-
1500000US480291216062,480291216062,"Block Group 2, Census Tract 1216.06, Bexar County, Texas",946
1500000US480291216063,480291216063,"Block Group 3, Census Tract 1216.06, Bexar County, Texas",-
1500000US480291216064,480291216064,"Block Group 4, Census Tract 1216.06, Bexar County, Texas",-
1500000US480291217011,480291217011,"Block Group 1, Census Tract 1217.01, Bexar County, Texas",854
1500000US480291217012,480291217012,"Block Group 2, Census Tract 1217.01, Bexar County, Texas",-
1500000US480291217013,480291217013,"Block Group 3, Census Tract 1217.01, Bexar County, Texas",936
1500000US480291217014,480291217014,"Block Group 4, Census Tract 1217.01, Bexar County, Texas",950
1500000US480291217021,480291217021,"Block Group 1, Census Tract 1217.02, Bexar County, Texas",1367
1500000US480291217022,480291217022,"Block Group 2, Census Tract 1217.02, Bexar County, Texas",748
1500000US480291217023,480291217023,"Block Group 3, Census Tract 1217.02, Bexar County, Texas",937
1500000US480291218021,480291218021,"Block Group 1, Census Tract 1218.02, Bexar County, Texas",1380
1500000US480291218022,480291218022,"Block Group 2, Census Tract 1218.02, Bexar County, Texas",1026
1500000US480291218023,480291218023,"Block Group 3, Census Tract 1218.02, Bexar County, Texas",-
1500000US480291218031,480291218031,"Block Group 1, Census Tract 1218.03, Bexar County, Texas",1168
1500000US480291218032,480291218032,"Block Group 2, Census Tract 1218.03, Bexar County, Texas",1156
1500000US480291218033,480291218033,"Block Group 3, Census Tract 1218.03, Bexar County, Texas",1015
1500000US480291218041,480291218041,"Block Group 1, Census Tract 1218.04, Bexar County, Texas",1109
1500000US480291218042,480291218042,"Block Group 2, Census Tract 1218.04, Bexar County, Texas",1114
1500000US480291218043,480291218043,"Block Group 3, Census Tract 1218.04, Bexar County, Texas",718
1500000US480291218081,480291218081,"Block Group 1, Census Tract 1218.08, Bexar County, Texas",-
1500000US480291218082,480291218082,"Block Group 2, Census Tract 1218.08, Bexar County, Texas",1194
1500000US480291218091,480291218091,"Block Group 1, Census Tract 1218.09, Bexar County, Texas",1112
1500000US480291218092,480291218092,"Block Group 2, Census Tract 1218.09, Bexar County, Texas",1165
1500000US480291218093,480291218093,"Block Group 3, Census Tract 1218.09, Bexar County, Texas",1495
1500000US480291218101,480291218101,"Block Group 1, Census Tract 1218.10, Bexar County, Texas",1240
1500000US480291218102,480291218102,"Block Group 2, Census Tract 1218.10, Bexar County, Texas",1646
1500000US480291218111,480291218111,"Block Group 1, Census Tract 1218.11, Bexar County, Texas",1485
1500000US480291218112,480291218112,"Block Group 2, Census Tract 1218.11, Bexar County, Texas",1610
1500000US480291218121,480291218121,"Block Group 1, Census Tract 1218.12, Bexar County, Texas",1216
1500000US480291218122,480291218122,"Block Group 2, Census Tract 1218.12, Bexar County, Texas",-
1500000US480291218123,480291218123,"Block Group 3, Census Tract 1218.12, Bexar County, Texas",-
1500000US480291218124,480291218124,"Block Group 4, Census Tract 1218.12, Bexar County, Texas",-
1500000US480291218131,480291218131,"Block Group 1, Census Tract 1218.13, Bexar County, Texas",1331
